,trigram,trigram_d_freq,trigram_r_freq,trigram_total
1,aaa credit rate,1,6,7
2,aaa fellow among,1,2,3
3,aaa rate us,1,1,2
4,aaron alexi washington,1,1,2
5,aba stand committe,30,2,32
6,abandon america sens,1,1,2
7,abandon nuclear weapon,2,1,3
8,abandon pursuit nuclear,3,1,4
9,abandon regular order,2,2,4
10,abandon time need,1,1,2
11,abbrevi new anim,1,1,2
12,abc news washington,1,1,2
13,abdic constitut respons,1,5,6
14,abdic respons duti,1,1,2
15,abdic respons make,1,1,2
16,abduct american citizen,1,1,2
17,abduct boko haram,2,1,3
18,abdulhakim mujahid muhammad,1,1,2
19,abdullah ii jordan,1,1,2
20,aberdeen prove ground,6,1,7
21,abigail mr speaker,2,2,4
22,abil access care,5,2,7
23,abil allow peopl,2,1,3
24,abil american get,1,1,2
25,abil american peopl,3,4,7
26,abil ask peopl,1,1,2
27,abil better live,1,1,2
28,abil borrow money,1,1,2
29,abil carri mission,5,2,7
30,abil chang law,1,1,2
31,abil collect sale,2,1,3
32,abil collect tax,2,2,4
33,abil combat threat,1,1,2
34,abil come togeth,1,3,4
35,abil commun effect,1,1,2
36,abil compet global,7,2,9
37,abil conven author,1,1,2
38,abil creat goodpay,1,1,2
39,abil creat job,3,7,10
40,abil creat new,1,2,3
41,abil debat amend,1,1,2
42,abil decid whether,3,1,4
43,abil defend nation,2,5,7
44,abil develop nuclear,1,3,4
45,abil effect commun,1,1,2
46,abil elect leader,1,1,2
47,abil enforc law,1,7,8
48,abil even bring,1,1,2
49,abil expand area,1,1,2
50,abil explain complex,1,1,2
51,abil feder govern,4,5,9
52,abil find futur,1,1,2
53,abil function would,1,1,2
54,abil gather inform,1,1,2
55,abil gather intellig,2,1,3
56,abil get done,4,1,5
57,abil get good,2,1,3
58,abil get health,1,2,3
59,abil get inform,1,1,2
60,abil get job,1,4,5
61,abil get qualiti,1,1,2
62,abil give back,2,1,3
63,abil go colleg,4,1,5
64,abil good job,1,1,2
65,abil grow economi,3,2,5
66,abil hire peopl,1,2,3
67,abil hire worker,1,1,2
68,abil keep american,1,1,2
69,abil keep kid,1,1,2
70,abil law enforc,1,9,10
71,abil live independ,1,1,2
72,abil live live,1,1,2
73,abil maintain good,2,1,3
74,abil major leader,1,2,3
75,abil make better,3,1,4
76,abil make choic,1,1,2
77,abil make decis,9,6,15
78,abil make differ,1,1,2
79,abil make end,1,1,2
80,abil make invest,1,1,2
81,abil make need,1,1,2
82,abil make sure,2,3,5
83,abil meet emerg,1,1,2
84,abil meet need,1,2,3
85,abil move forward,5,2,7
86,abil mr speaker,2,2,4
87,abil offer amend,7,10,17
88,abil pay bill,6,3,9
89,abil pay debt,1,1,2
90,abil peopl abl,1,1,2
91,abil perform duti,1,2,3
92,abil plea bargain,1,1,2
93,abil prepar student,1,1,2
94,abil presid unit,1,1,2
95,abil produc food,1,1,2
96,abil project power,1,1,2
97,abil protect homeland,1,2,3
98,abil protect nation,1,3,4
99,abil provid afford,1,1,2
100,abil provid assist,1,1,2
101,abil provid famili,2,1,3
102,abil provid safeti,1,1,2
103,abil put food,2,1,3
104,abil rais revenu,1,1,2
105,abil reach agreement,1,1,2
106,abil recoup cost,1,1,2
107,abil remain calm,1,1,2
108,abil repay loan,1,1,2
109,abil repay provis,1,2,3
110,abil repay requir,2,1,3
111,abil repay rule,1,1,2
112,abil respond emerg,1,1,2
113,abil respond threat,1,1,2
114,abil save live,1,1,2
115,abil secur border,1,1,2
116,abil see doctor,1,3,4
117,abil see peopl,1,1,2
118,abil seiz opportun,1,1,2
119,abil senat baucu,1,1,2
120,abil serv nation,1,1,2
121,abil set asid,2,3,5
122,abil small busi,1,6,7
123,abil speak debat,1,1,2
124,abil stay unit,1,1,2
125,abil strengthen border,1,1,2
126,abil sustain american,1,1,2
127,abil think outsid,1,1,2
128,abil train equip,2,1,3
129,abil transfer detaine,1,2,3
130,abil unit state,6,8,14
131,abil urg colleagu,1,1,2
132,abil work american,5,1,6
133,abil work togeth,6,3,9
134,abil work us,1,2,3
135,abil work well,1,2,3
136,abil young peopl,2,1,3
137,abkhazia south ossetia,1,1,2
138,abl absorb increas,2,1,3
139,abl access afford,1,1,2
140,abl accomplish task,1,1,2
141,abl act nt,1,2,3
142,abl act would,1,1,2
143,abl address concern,1,3,4
144,abl address issu,6,3,9
145,abl address problem,1,1,2
146,abl adequ address,1,1,2
147,abl advanc bill,1,1,2
148,abl afford buy,3,1,4
149,abl afford colleg,8,2,10
150,abl afford coverag,4,1,5
151,abl afford health,7,2,9
152,abl afford live,3,1,4
153,abl afford pay,2,2,4
154,abl agre hope,1,1,2
155,abl agre need,1,1,2
156,abl agre presid,1,1,2
157,abl agre would,1,1,2
158,abl amend bill,1,1,2
159,abl answer question,2,3,5
160,abl assist committe,1,1,2
161,abl assist effort,1,1,2
162,abl attend colleg,1,1,2
163,abl attend would,1,1,2
164,abl avail activ,1,1,2
165,abl avoid penalti,2,1,3
166,abl begin process,1,1,2
167,abl bipartisan basi,2,1,3
168,abl bodi adult,1,2,3
169,abl borrow money,3,2,5
170,abl bring amend,1,1,2
171,abl bring bill,11,8,19
172,abl bring floor,1,1,2
173,abl bring unit,1,1,2
174,abl build pipelin,2,2,4
175,abl buy afford,2,2,4
176,abl buy car,2,1,3
177,abl buy groceri,1,1,2
178,abl buy gun,12,1,13
179,abl buy health,5,6,11
180,abl buy insur,2,3,5
181,abl call amend,2,1,3
182,abl chang rule,1,2,3
183,abl choos whether,1,1,2
184,abl come across,1,1,2
185,abl come agreement,8,1,9
186,abl come america,1,1,2
187,abl come back,4,10,14
188,abl come committe,1,1,2
189,abl come deal,1,1,2
190,abl come floor,5,4,9
191,abl come today,1,1,2
192,abl come togeth,34,23,57
193,abl compet feder,2,1,3
194,abl complet work,4,1,5
195,abl conduct busi,2,2,4
196,abl connect dot,1,1,2
197,abl consid amend,2,1,3
198,abl continu effort,1,1,2
199,abl continu oper,1,1,2
200,abl continu serv,1,2,3
201,abl continu work,1,2,3
202,abl cover employe,1,1,2
203,abl creat job,5,2,7
204,abl cross border,2,1,3
205,abl deal issu,2,3,5
206,abl debat discuss,1,1,2
207,abl debat floor,3,1,4
208,abl debat vote,5,2,7
209,abl decid whether,2,2,4
210,abl deliv promis,2,2,4
211,abl earn live,2,1,3
212,abl end shutdown,1,2,3
213,abl energi effici,1,1,2
214,abl engag colloquy,1,2,3
215,abl engag senat,1,1,2
216,abl enjoy freedom,1,1,2
217,abl enjoy park,1,1,2
218,abl exercis religi,2,1,3
219,abl explain one,1,1,2
220,abl express view,2,2,4
221,abl feed famili,8,1,9
222,abl figur way,1,2,3
223,abl find answer,1,1,2
224,abl find common,7,1,8
225,abl find goodpay,3,1,4
226,abl find health,2,1,3
227,abl find insur,1,1,2
228,abl find job,8,12,20
229,abl find solut,1,1,2
230,abl find someth,1,1,2
231,abl find way,7,2,9
232,abl find work,4,2,6
233,abl finish meharri,1,1,2
234,abl fulfil mission,1,2,3
235,abl fulfil respons,1,1,2
236,abl fulli integr,1,1,2
237,abl fund govern,1,1,2
238,abl gain access,2,1,3
239,abl get afford,1,2,3
240,abl get agreement,3,1,4
241,abl get ahead,3,2,5
242,abl get amend,5,8,13
243,abl get anoth,1,2,3
244,abl get answer,1,4,5
245,abl get anyth,1,1,2
246,abl get around,2,3,5
247,abl get away,3,5,8
248,abl get back,10,9,19
249,abl get behind,2,2,4
250,abl get benefit,1,2,3
251,abl get bill,9,6,15
252,abl get bipartisan,1,1,2
253,abl get budget,3,1,4
254,abl get care,3,5,8
255,abl get chang,1,1,2
256,abl get confer,1,1,2
257,abl get countri,1,1,2
258,abl get credit,2,1,3
259,abl get debat,1,1,2
260,abl get doctor,2,2,4
261,abl get done,23,6,29
262,abl get educ,4,2,6
263,abl get effect,1,1,2
264,abl get even,1,2,3
265,abl get everi,2,2,4
266,abl get floor,2,1,3
267,abl get fund,3,1,4
268,abl get go,2,1,3
269,abl get health,9,2,11
270,abl get higher,1,1,2
271,abl get home,1,1,2
272,abl get hous,1,1,2
273,abl get inform,2,3,5
274,abl get insur,14,3,17
275,abl get job,8,9,17
276,abl get littl,1,1,2
277,abl get new,4,1,5
278,abl get one,4,2,6
279,abl get peopl,2,2,4
280,abl get point,3,1,4
281,abl get rid,2,1,3
282,abl get someth,4,3,7
283,abl get start,2,1,3
284,abl get student,2,1,3
285,abl get thing,5,3,8
286,abl get treatment,4,2,6
287,abl get vote,8,6,14
288,abl get year,1,1,2
289,abl give us,2,2,4
290,abl go back,7,3,10
291,abl go colleg,21,2,23
292,abl go confer,8,1,9
293,abl go doctor,3,1,4
294,abl go exchang,3,2,5
295,abl go forward,2,4,6
296,abl go get,3,1,4
297,abl go home,1,6,7
298,abl go hospit,1,2,3
299,abl go one,1,1,2
300,abl go onlin,1,4,5
301,abl go school,7,2,9
302,abl go work,12,2,14
303,abl grow busi,1,2,3
304,abl health insur,2,1,3
305,abl heat home,1,3,4
306,abl help commun,1,1,2
307,abl help parent,1,1,2
308,abl help pay,3,1,4
309,abl help peopl,2,1,3
310,abl help us,4,1,5
311,abl hire peopl,2,3,5
312,abl hold account,1,2,3
313,abl identifi potenti,1,1,2
314,abl impact live,1,1,2
315,abl includ bill,1,1,2
316,abl includ provis,1,2,3
317,abl increas fund,1,1,2
318,abl join colleagu,1,1,2
319,abl join togeth,1,1,2
320,abl keep commit,1,1,2
321,abl keep coverag,1,1,2
322,abl keep doctor,1,44,45
323,abl keep famili,2,1,3
324,abl keep go,1,3,4
325,abl keep health,3,41,44
326,abl keep home,1,1,2
327,abl keep job,1,2,3
328,abl keep polici,1,3,4
329,abl keep presid,1,2,3
330,abl lead countri,1,1,2
331,abl learn health,1,1,2
332,abl lend money,1,1,2
333,abl live american,2,1,3
334,abl live decent,1,1,2
335,abl live home,1,1,2
336,abl look back,2,3,5
337,abl lot thing,1,1,2
338,abl lower cost,2,1,3
339,abl make decis,6,8,14
340,abl make end,4,1,5
341,abl make good,1,1,2
342,abl make inform,3,1,4
343,abl make mark,1,1,2
344,abl make mortgag,4,1,5
345,abl make progress,3,2,5
346,abl make sure,9,3,12
347,abl make thing,1,2,3
348,abl make unit,1,1,2
349,abl meet demand,2,2,4
350,abl meet energi,1,1,2
351,abl meet goal,1,1,2
352,abl meet need,5,2,7
353,abl meet oblig,1,2,3
354,abl meet talk,1,1,2
355,abl member senat,1,2,3
356,abl move bill,2,4,6
357,abl move expediti,1,1,2
358,abl move forward,28,11,39
359,abl move product,1,1,2
360,abl move vote,1,1,2
361,abl mr chairman,1,1,2
362,abl mr speaker,1,1,2
363,abl obtain health,1,1,2
364,abl obtain nuclear,1,1,2
365,abl offer amend,32,23,55
366,abl offer servic,1,1,2
367,abl overcom obstacl,1,1,2
368,abl particip fulli,1,1,2
369,abl particip process,1,2,3
370,abl pass along,1,1,2
371,abl pass bill,9,6,15
372,abl pass bipartisan,2,1,3
373,abl pass immigr,1,1,2
374,abl pass legisl,3,6,9
375,abl pass senat,3,1,4
376,abl pay back,3,4,7
377,abl pay bill,10,3,13
378,abl pay full,3,1,4
379,abl pay health,2,1,3
380,abl pay medic,1,1,2
381,abl pay mortgag,7,1,8
382,abl pay premium,1,1,2
383,abl pay tax,2,1,3
384,abl pay tribut,2,1,3
385,abl pay util,1,1,2
386,abl perform job,1,1,2
387,abl plan futur,5,1,6
388,abl play role,1,2,3
389,abl proceed bill,1,1,2
390,abl process claim,2,1,3
391,abl produc nuclear,1,1,2
392,abl produc whether,1,1,2
393,abl protect american,3,1,4
394,abl protect famili,1,1,2
395,abl protect us,1,1,2
396,abl prove wrong,1,1,2
397,abl provid addit,2,1,3
398,abl provid basic,1,1,2
399,abl provid famili,7,5,12
400,abl provid health,2,1,3
401,abl provid help,3,1,4
402,abl provid kind,1,1,2
403,abl provid million,1,2,3
404,abl provid servic,8,5,13
405,abl purchas coverag,1,1,2
406,abl purchas insur,1,2,3
407,abl put asid,2,4,6
408,abl put money,1,1,2
409,abl put partisanship,1,1,2
410,abl put place,1,2,3
411,abl put togeth,7,5,12
412,abl quickli ramp,1,1,2
413,abl rais famili,4,1,5
414,abl reach agreement,3,8,11
415,abl reach bipartisan,1,1,2
416,abl reach compromis,3,2,5
417,abl receiv benefit,1,3,4
418,abl receiv care,1,1,2
419,abl receiv fund,1,1,2
420,abl receiv health,1,1,2
421,abl receiv scholarship,1,1,2
422,abl remain open,1,1,2
423,abl repres constitu,1,1,2
424,abl repres state,1,1,2
425,abl return home,2,1,3
426,abl return job,1,1,2
427,abl save buy,1,1,2
428,abl save enough,3,2,5
429,abl save per,1,1,2
430,abl say m,1,1,2
431,abl say well,1,1,2
432,abl say word,1,3,4
433,abl see doctor,7,3,10
434,abl see happen,1,1,2
435,abl see home,1,1,2
436,abl see memori,1,1,2
437,abl seek help,1,1,2
438,abl send kid,3,1,4
439,abl set asid,3,1,4
440,abl set prioriti,1,1,2
441,abl share wealth,1,1,2
442,abl shop health,2,1,3
443,abl sign exchang,1,1,2
444,abl sign next,1,2,3
445,abl solv problem,1,2,3
446,abl speak issu,1,2,3
447,abl spend money,2,4,6
448,abl spend time,3,3,6
449,abl start busi,1,2,3
450,abl stay countri,3,1,4
451,abl stay home,6,3,9
452,abl stay parent,23,1,24
453,abl stay unit,2,2,4
454,abl support amend,1,1,2
455,abl support bill,3,3,6
456,abl support famili,15,2,17
457,abl sustain power,1,1,2
458,abl switch around,1,1,2
459,abl take advantag,14,5,19
460,abl take away,1,7,8
461,abl take care,15,6,21
462,abl take job,2,4,6
463,abl take look,1,1,2
464,abl take part,6,1,7
465,abl take senat,1,1,2
466,abl take time,1,2,3
467,abl take us,2,2,4
468,abl take vote,1,1,2
469,abl tell constitu,2,1,3
470,abl thing want,1,2,3
471,abl thing would,2,1,3
472,abl turn back,1,1,2
473,abl unlock phone,1,2,3
474,abl use feder,1,1,2
475,abl use kind,1,1,2
476,abl use money,3,2,5
477,abl verifi whether,1,1,2
478,abl visit see,2,1,3
479,abl voic heard,2,1,3
480,abl vote amend,1,1,2
481,abl vote bill,2,1,3
482,abl vote final,1,4,5
483,abl vote present,1,1,2
484,abl vote today,3,2,5
485,abl vote would,5,3,8
486,abl wear uniform,1,1,2
487,abl wit firsthand,1,1,2
488,abl work abl,1,2,3
489,abl work agreement,1,1,2
490,abl work america,2,3,5
491,abl work bipartisan,5,2,7
492,abl work busi,1,1,2
493,abl work chairman,1,2,3
494,abl work close,2,1,3
495,abl work colleagu,3,2,5
496,abl work committe,1,1,2
497,abl work compet,1,1,2
498,abl work full,1,1,2
499,abl work hard,2,1,3
500,abl work hour,1,4,5
501,abl work know,1,1,2
502,abl work month,1,1,2
503,abl work number,1,1,2
504,abl work put,1,1,2
505,abl work senat,3,3,6
506,abl work togeth,16,23,39
507,abl work unit,1,1,2
508,abl work way,3,1,4
509,abl would like,1,2,3
510,abl write check,1,1,2
511,ablebodi adult without,4,3,7
512,ablebodi peopl work,1,2,3
513,abli led senat,1,1,2
514,aboard british prison,1,1,2
515,aboard coast guard,1,4,5
516,aboard uss frank,2,4,6
517,abolish independ payment,1,1,2
518,abolish intern revenu,1,2,3
519,abolish medic devic,1,1,2
520,abolish right debat,1,1,2
521,abolish unit state,1,1,2
522,abolitionist frederick douglass,2,1,3
523,abort abort insur,1,5,6
524,abort act bill,1,1,2
525,abort afford care,3,1,4
526,abort ca nt,1,3,4
527,abort case rape,1,1,2
528,abort coverag aca,1,1,2
529,abort coverag health,2,1,3
530,abort coverag privat,2,1,3
531,abort coverag would,2,1,3
532,abort except case,3,5,8
533,abort insur full,1,6,7
534,abort unit state,1,6,7
535,abort urg colleagu,1,1,2
536,abort week pregnanc,1,3,4
537,abraham lincoln believ,1,1,2
538,abraham lincoln call,1,2,3
539,abraham lincoln first,1,1,2
540,abraham lincoln gave,1,4,5
541,abraham lincoln go,1,1,2
542,abraham lincoln high,1,1,2
543,abraham lincoln martin,1,1,2
544,abraham lincoln men,1,1,2
545,abraham lincoln said,1,8,9
546,abraham lincoln say,1,1,2
547,abraham lincoln sign,11,6,17
548,abraham lincoln spoke,1,1,2
549,abram margaret coulter,1,1,2
550,abroad come back,1,1,2
551,abroad includ activ,1,1,2
552,abroad mr speaker,4,3,7
553,abroad urg colleagu,1,2,3
554,abroad vital part,1,1,2
555,absenc quorum ask,23,4,27
556,absenc quorum presid,7,4,11
557,absenc quorum time,4,1,5
558,absenc quorum yield,1,1,2
559,absent attend funer,9,1,10
560,absent congression action,5,2,7
561,absent due death,5,18,23
562,absent due ill,3,21,24
563,absent extraordinari circumst,2,2,4
564,absent follow vote,5,1,6
565,absent hous chamber,19,1,20
566,absent hous miss,7,3,10
567,absent hous repres,1,2,3
568,absent present would,4,2,6
