Name in Bridge dataset,bioguide_id,idno
Rep. Neil Abercrombie,A000014,15245
Rep. Gary Ackerman,A000022,15000
Rep. Sandra Adams,A000366,21120
Rep. Robert Aderholt,A000055,29701
Rep. John Adler,A000364,20928
Sen. Daniel Akaka,A000069,14400
Rep. W. Todd Akin,A000358,20123
Sen. Lamar Alexander,A000360,40304
Rep. Rodney Alexander,A000361,20327
Sen. Wayne Allard,A000109,29108
Rep. Tom Allen,A000357,29728
Rep. Jason Altmire,A000362,20743
Rep. Justin Amash,A000367,21143
Rep. Mark Amodei,A000369,
Rep. Rob Andrews,A000210,29132
Rep. Michael Arcuri,A000363,20736
Rep. Steve Austria,A000365,20940
Sen. Kelly Ayotte,A000368,41106
Rep. Joe Baca,B001234,29942
Rep. Michele Bachmann,B001256,20728
Rep. Spencer Bachus,B000013,29301
Rep. Brian Baird,B001229,29938
Rep. Richard Baker,B000072,15401
Rep. Tammy Baldwin,B001230,29940
Rep. Lou Barletta,B001269,21171
Sen. John Barrasso,B001261,40707
Rep. J. Gresham Barrett,B001239,20347
Rep. John Barrow,B001252,20507
Rep. Roscoe Bartlett,B000208,29356
Rep. Joe Barton,B000213,15085
Rep. Charlie Bass,B000220,29538
Rep. Karen Bass,B001270,21110
Sen. Max Baucus,B000243,14203
Sen. Evan Bayh,B001233,49901
Rep. Melissa Bean,B001253,20509
Rep. Xavier Becerra,B000287,29316
Sen. Mark Begich,B001265,40900
Rep. Dan Benishek,B001271,21141
Sen. Michael Bennet,B001267,
Sen. Bob Bennett,B000382,49307
Rep. Rick Berg,B001272,21160
Rep. Shelley Berkley,B001231,29922
Rep. Howard Berman,B000410,15005
Rep. Marion Berry,B000420,29702
Sen. Joseph Biden,B000444,14101
Rep. Judy Biggert,B001232,29912
Rep. Brian Bilbray,B000461,29508
Rep. Gus Bilirakis,B001257,20758
Sen. Jeff Bingaman,B000468,14912
Rep. Rob Bishop,B001250,20357
Rep. Sanford Bishop,B000490,29339
Rep. Timothy Bishop,B001242,20338
Rep. Diane Black,B001273,21180
Rep. Marsha Blackburn,B001243,20351
Rep. Earl Blumenauer,B000574,29588
Sen. Richard Blumenthal,B001277,41101
Sen. Roy Blunt,B000575,41105
Rep. John Boccieri,B001263,20943
Rep. John Boehner,B000589,29137
Sen. Kit Bond,B000611,15501
Rep. Jo Bonner,B001244,20300
Rep. Mary Bono Mack,B001228,29775
Sen. John Boozman,B001236,41100
Del. Madeline Bordallo,B001245,70701
Rep. Dan Boren,B001254,20523
Rep. Leonard Boswell,B000652,29721
Rep. Rick Boucher,B000657,15010
Rep. Charles Boustany,B001255,20514
Sen. Barbara Boxer,B000711,15011
Rep. Allen Boyd,B000716,29713
Rep. Nancy Boyda,B001258,20721
Rep. Kevin Brady,B000755,29760
Rep. Bob Brady,B001227,29777
Rep. Bruce Braley,B001259,20719
Rep. Bobby Bright,B001264,20900
Rep. Mo Brooks,B001274,21193
Rep. Paul Broun,B001262,20753
Rep. Corrine Brown,B000911,29328
Rep. Henry Brown,B001235,20137
Sen. Scott Brown,B001268,40913
Sen. Sherrod Brown,B000944,29389
Sen. Sam Brownback,B000953,29523
Rep. Ginny Brown-Waite,B001247,20313
Rep. Vern Buchanan,B001260,20709
Rep. Larry Bucshon,B001275,21132
Rep. Ann Buerkle,B001276,21158
Sen. Jim Bunning,B001066,15406
Rep. Michael Burgess,B001248,20355
Sen. Richard Burr,B001135,29548
Sen. Roland Burris,B001266,111508
Rep. Dan Burton,B001149,15014
Rep. G.K. Butterfield,B001251,20340
Rep. Steve Buyer,B001203,29350
Sen. Robert Byrd,B001210,1366
Rep. Ken Calvert,C000059,29323
Rep. Dave Camp,C000071,29124
Rep. John Campbell,C001064,20539
Rep. Chris Cannon,C000116,29766
Rep. Quico Canseco,C001082,21183
Rep. Eric Cantor,C001046,20144
Sen. Maria Cantwell,C000127,39310
Rep. Joseph Cao,C001079,20917
Rep. Shelley Capito,C001047,20146
Rep. Lois Capps,C001036,29774
Rep. Mike Capuano,C001037,29919
Sen. Ben Cardin,C000141,15408
Rep. Dennis Cardoza,C001050,20306
Rep. Russ Carnahan,C001060,20516
Rep. Chris Carney,C001065,20746
Rep. John Carney,C001083,21113
Sen. Tom Carper,C000174,15015
Rep. Andre Carson,C001072,20757
Rep. Julia Carson,C000191,20757
Rep. John Carter,C001051,20356
Sen. Bob Casey,C001070,40703
Rep. Bill Cassidy,C001075,20919
Rep. Michael Castle,C000243,29327
Rep. Kathy Castor,C001066,20708
Rep. Don Cazayoux,C001073,20760
Rep. Steve Chabot,C000266,21161
Rep. Jason Chaffetz,C001076,20949
Sen. C. Saxby Chambliss,C000286,29512
Rep. Ben Chandler,C001058,20326
Rep. Travis Childers,C001074,20761
Del. Donna Christensen,C000380,70501
Rep. Judy Chu,C001080,20955
Rep. David Cicilline,C001084,21172
Rep. Hansen Clarke,C001085,21145
Rep. Yvette Clarke,C001067,20733
Rep. Lacy Clay,C001049,20147
Rep. Emanuel Cleaver,C001061,20517
Sen. Hillary Clinton,C001041,40105
Rep. Jim Clyburn,C000537,39301
Sen. Dan Coats,C000542,14806
Rep. Howard Coble,C000556,15092
Sen. Tom Coburn,C000560,29555
Sen. Thad Cochran,C000567,14009
Rep. Mike Coffman,C001077,20906
Rep. Steve Cohen,C001068,20748
Rep. Tom Cole,C001053,20344
Sen. Norm Coleman,C001057,40302
Sen. Susan Collins,C001035,49703
Rep. Mike Conaway,C001062,20531
Rep. Gerry Connolly,C001078,20952
Sen. Kent Conrad,C000705,15502
Rep. John Conyers,C000714,10713
Sen. Chris Coons,C001088,40916
Rep. Jim Cooper,C000754,15019
Sen. Bob Corker,C001071,40705
Sen. John Cornyn,C001056,40305
Rep. Jim Costa,C001059,20501
Rep. Jerry Costello,C000794,15453
Rep. Joe Courtney,C001069,20706
Sen. Larry Craig,C000858,14809
Rep. Bud Cramer,C000868,29100
Sen. Mike Crapo,C000880,29345
Rep. Chip Cravaack,C001086,21146
Rep. Rick Crawford,C001087,21106
Rep. Ander Crenshaw,C001045,20111
Rep. Mark Critz,C001081,20960
Rep. Joe Crowley,C001038,29925
Rep. Barbara Cubin,C000962,29584
Rep. Henry Cuellar,C001063,20533
Rep. John Culberson,C001048,20139
Rep. Elijah Cummings,C000984,29587
Rep. Kathy Dahlkemper,D000608,20945
Rep. Artur Davis,D000602,20302
Rep. Danny Davis,D000096,29717
Rep. David Davis,D000606,20747
Rep. Geoff Davis,D000603,20511
Rep. Jo Ann Davis,D000597,29576
Rep. Lincoln Davis,D000599,20350
Rep. Susan Davis,D000598,20108
Rep. Tom Davis,D000136,29576
Rep. Nathan Deal,D000168,99342
Rep. Peter DeFazio,D000191,15410
Rep. Diana DeGette,D000197,29710
Rep. Bill Delahunt,D000210,29731
