trigram,trigram_r_freq
ask unanim consent,2900
mr speaker rise,2691
speaker rise today,2286
reserv balanc time,1688
yield back balanc,1467
back balanc time,1466
health care law,1451
presid ask unanim,1342
afford care act,1254
mr presid ask,1114
yield minut gentleman,1079
presid unit state,800
speaker ask unanim,764
unanim consent order,652
quorum call rescind,645
rise today recogn,637
order quorum call,633
consent order quorum,632
suggest absenc quorum,599
revis extend remark,597
unanim consent member,573
rise today honor,566
depart homeland secur,549
mr speaker move,469
clerk read titl,467
legisl day revis,463
day revis extend,461
health care plan,425
presid health care,424
keyston xl pipelin,418
may legisl day,411
member may legisl,411
consent member may,410
unit state congress,398
boy scout america,394
speaker reserv balanc,373
ask colleagu join,372
includ extran materi,360
suspend rule pass,356
remark includ extran,355
extend remark includ,353
madam presid ask,353
health human servic,350
necessarili absent senat,349
mr speaker reserv,337
rule pass bill,318
wall street journal,296
rise today support,294
pass bill hr,290
presid obama took,237
balanc budget amend,233
ask immedi consider,232
obama took offic,231
continu reserv balanc,216
intern revenu servic,212
mr speaker januari,201
proudli ask join,196
day presid obama,186
take activ part,185
special young man,184
scout america troop,182
unit state code,182
ask join commend,181
mr speaker behalf,175
global war terror,171
friend across aisl,167
unanim consent senat,164
member legisl day,161
consent member legisl,159
medic devic tax,159
senat south carolina,158
senat major leader,155
mr speaker presid,149
move hous adjourn,149
open amend process,145
secretari homeland secur,145
unanim consent committe,143
speaker move hous,141
major leader senat,139
meet session senat,137
colleagu hous join,135
author meet session,133
gentleman pennsylvania mr,132
speaker ask colleagu,131
date enact act,129
bill hr amend,127
mr presid would,126
new york citi,123
hous join congratul,121
speaker continu reserv,120
resolut ask immedi,116
like health care,114
keep health care,112
mr speaker privileg,112
promis american peopl,110
south carolina mr,110
demand record vote,109
would vote ye,108
unanim consent request,107
delay employ mandat,107
