bigram,bigram_d_freq
mr speaker,15319
mr presid,9043
unanim consent,6633
ask unanim,6011
health care,4640
presid ask,4198
speaker rise,4017
rise today,3829
american peopl,3357
make sure,3272
new york,3155
madam presid,2928
care act,2689
afford care,2646
balanc time,2197
climat chang,2095
feder govern,2065
mr chairman,2045
across countri,2001
homeland secur,1952
work togeth,1825
minimum wage,1822
presid obama,1721
million american,1701
colleagu join,1677
farm bill,1632
move forward,1511
student loan,1476
immigr reform,1457
ask colleagu,1445
everi day,1439
middl class,1403
senat proceed,1263
work hard,1221
today honor,1202
session senat,1144
civil right,1111
quorum call,1101
meet session,1075
govern shutdown,1054
rollcal vote,1045
author meet,1035
republican colleagu,1018
home state,1018
depart homeland,1003
rhode island,998
major leader,995
come togeth,995
hous republican,992
reserv balanc,963
young peopl,960
consent senat,955
sexual assault,954
public servic,951
interest rate,945
continu resolut,944
presid offic,930
democrat republican,869
let us,835
tax credit,834
consent committe,833
morn busi,808
unemploy insur,801
african american,797
shut govern,766
offic build,764
public health,757
senat offic,755
food stamp,716
year old,703
higher educ,694
motion reconsid,680
action debat,652
interven action,647
comprehens immigr,639
energi effici,635
republican leader,629
go confer,629
print record,628
gun violenc,624
tea parti,612
white hous,609
work famili,609
senat republican,600
mental health,595
pay bill,594
upon tabl,593
background check,589
laid upon,586
hear entitl,569
domest violenc,563
republican budget,549
dirksen senat,547
unemploy benefit,538
econom develop,524
equal divid,522
head start,518
speaker boehner,515
senat pass,514
san francisco,511
