Top 100 republican and democrat bigrams and trigrams,,,,,,,,,,
bigram_democrat,bigram_r_freq,,bigram_republican,bigram_d_freq,,trigram_democrat,trigram_d_freq,,trigram_republican,trigram_r_freq
mr speaker,18811,,mr speaker,15319,,ask unanim consent,6009,,ask unanim consent,2900
health care,6047,,mr presid,9043,,presid ask unanim,3968,,mr speaker rise,2691
american peopl,5351,,unanim consent,6633,,mr speaker rise,3867,,speaker rise today,2286
mr presid,4758,,ask unanim,6011,,mr presid ask,3305,,reserv balanc time,1688
balanc time,3353,,health care,4640,,speaker rise today,3103,,yield back balanc,1467
unanim consent,3186,,presid ask,4198,,afford care act,2586,,back balanc time,1466
mr chairman,2992,,speaker rise,4017,,rise today honor,1092,,health care law,1451
rise today,2921,,rise today,3829,,yield back balanc,1086,,presid ask unanim,1342
presid obama,2905,,american peopl,3357,,back balanc time,1086,,afford care act,1254
ask unanim,2903,,make sure,3272,,meet session senat,1075,,mr presid ask,1114
speaker rise,2828,,new york,3155,,ask colleagu join,1061,,yield minut gentleman,1079
feder govern,2791,,madam presid,2928,,author meet session,1030,,presid unit state,800
make sure,2242,,care act,2689,,quorum call rescind,1017,,speaker ask unanim,764
major leader,2140,,afford care,2646,,unanim consent order,1014,,unanim consent order,652
reserv balanc,1701,,balanc time,2197,,order quorum call,1003,,quorum call rescind,645
madam presid,1644,,climat chang,2095,,depart homeland secur,1002,,rise today recogn,637
white hous,1633,,feder govern,2065,,consent order quorum,1001,,order quorum call,633
presid ask,1560,,mr chairman,2045,,rise today recogn,965,,consent order quorum,632
care law,1530,,across countri,2001,,reserv balanc time,961,,suggest absenc quorum,599
new york,1464,,homeland secur,1952,,unanim consent senat,942,,revis extend remark,597
care act,1395,,work togeth,1825,,suggest absenc quorum,881,,unanim consent member,573
obama administr,1350,,minimum wage,1822,,madam presid ask,860,,rise today honor,566
afford care,1292,,presid obama,1721,,unanim consent committe,832,,depart homeland secur,549
homeland secur,1253,,million american,1701,,yield minut gentleman,753,,mr speaker move,469
across countri,1230,,colleagu join,1677,,senat offic build,708,,clerk read titl,467
work togeth,1004,,farm bill,1632,,interven action debat,646,,legisl day revis,463
million american,970,,move forward,1511,,speaker ask colleagu,623,,day revis extend,461
move forward,962,,student loan,1476,,laid upon tabl,584,,health care plan,425
everi day,868,,immigr reform,1457,,consent senat proceed,575,,presid health care,424
web site,857,,ask colleagu,1445,,comprehens immigr reform,571,,keyston xl pipelin,418
farm bill,807,,everi day,1439,,dirksen senat offic,542,,may legisl day,411
presid unit,805,,middl class,1403,,tabl interven action,510,,member may legisl,411
colleagu join,792,,senat proceed,1263,,rais minimum wage,487,,consent member may,410
border secur,737,,work hard,1221,,conduct hear entitl,462,,unit state congress,398
middl east,727,,today honor,1202,,colleagu join recogn,461,,boy scout america,394
eagl scout,710,,session senat,1144,,upon tabl interven,456,,speaker reserv balanc,373
south carolina,694,,civil right,1111,,period morn busi,444,,ask colleagu join,372
today honor,685,,quorum call,1101,,unanim consent request,429,,includ extran materi,360
ask colleagu,683,,meet session,1075,,new york citi,394,,suspend rule pass,356
balanc budget,680,,govern shutdown,1054,,consid made laid,391,,remark includ extran,355
quorum call,675,,rollcal vote,1045,,reconsid consid made,390,,extend remark includ,353
rule law,669,,author meet,1035,,motion reconsid consid,390,,madam presid ask,353
middl class,625,,republican colleagu,1018,,made laid upon,381,,health human servic,350
illeg immigr,624,,home state,1018,,nation institut health,359,,necessarili absent senat,349
legisl day,614,,depart homeland,1003,,proceed execut session,352,,mr speaker reserv,337
home state,610,,rhode island,998,,yield minut gentlewoman,331,,rule pass bill,318
senat democrat,600,,major leader,995,,presid unit state,325,,wall street journal,296
revis extend,600,,come togeth,995,,broken immigr system,325,,rise today support,294
extend remark,599,,hous republican,992,,senat permit speak,322,,pass bill hr,290
nation debt,587,,reserv balanc,963,,student loan debt,314,,presid obama took,237
consent member,573,,young peopl,960,,morn busi senat,304,,balanc budget amend,233
american citizen,573,,consent senat,955,,new budget author,302,,ask immedi consider,232
depart homeland,550,,sexual assault,954,,agre motion reconsid,301,,obama took offic,231
bill hr,540,,public servic,951,,offic build conduct,299,,continu reserv balanc,216
sexual assault,534,,interest rate,945,,energi natur resourc,299,,intern revenu servic,212
al qaeda,529,,continu resolut,944,,senat proceed vote,298,,mr speaker januari,201
boy scout,528,,presid offic,930,,year new budget,291,,proudli ask join,196
continu resolut,525,,democrat republican,869,,fiscal year new,291,,day presid obama,186
speaker move,521,,let us,835,,execut session consid,289,,take activ part,185
come togeth,519,,tax credit,834,,author b outlay,288,,special young man,184
work hard,518,,consent committe,833,,budget author b,288,,scout america troop,182
execut branch,515,,morn busi,808,,repeal afford care,282,,unit state code,182
enforc law,512,,unemploy insur,801,,senat proceed consider,282,,ask join commend,181
clerk read,498,,african american,797,,follow leader remark,281,,mr speaker behalf,175
keyston xl,493,,shut govern,766,,demand record vote,274,,global war terror,171
presid said,485,,offic build,764,,mr presid would,273,,friend across aisl,167
read titl,469,,public health,757,,year fiscal year,269,,unanim consent senat,164
student loan,465,,senat offic,755,,fiscal year fiscal,266,,member legisl day,161
day revis,463,,food stamp,716,,outlay fiscal year,264,,consent member legisl,159
public servic,459,,year old,703,,b outlay fiscal,261,,medic devic tax,159
young peopl,454,,higher educ,694,,build conduct hear,260,,senat south carolina,158
extran materi,452,,motion reconsid,680,,vote right act,256,,senat major leader,155
hous republican,440,,action debat,652,,would vote ye,243,,mr speaker presid,149
presid health,439,,interven action,647,,senat proceed execut,241,,move hous adjourn,149
employ mandat,438,,comprehens immigr,639,,speaker ask unanim,240,,open amend process,145
care plan,436,,energi effici,635,,new york mr,240,,secretari homeland secur,145
member may,433,,republican leader,629,,leader remark senat,239,,unanim consent committe,143
trillion debt,433,,go confer,629,,keep govern open,237,,speaker move hous,141
titl bill,432,,print record,628,,committe energi natur,232,,major leader senat,139
govern shutdown,431,,gun violenc,624,,motion reconsid laid,231,,meet session senat,137
xl pipelin,425,,tea parti,612,,martin luther king,230,,colleagu hous join,135
immigr reform,417,,white hous,609,,two leader designe,229,,author meet session,133
state congress,417,,work famili,609,,put food tabl,229,,gentleman pennsylvania mr,132
feder land,416,,senat republican,600,,foreign relat committe,225,,speaker ask colleagu,131
may legisl,413,,mental health,595,,increas minimum wage,223,,date enact act,129
immigr law,404,,pay bill,594,,revis extend remark,217,,bill hr amend,127
tax credit,399,,upon tabl,593,,consent resolut agre,214,,mr presid would,126
suspend rule,398,,background check,589,,unanim consent resolut,214,,new york citi,123
scout america,396,,laid upon,586,,mr presid move,214,,hous join congratul,121
religi freedom,396,,hear entitl,569,,yield back time,214,,speaker continu reserv,120
rais tax,392,,domest violenc,563,,immigr reform bill,212,,resolut ask immedi,116
tax increas,390,,republican budget,549,,follow prayer pledg,208,,like health care,114
follow senat,374,,dirksen senat,547,,equal divid control,208,,keep health care,112
rule pass,370,,unemploy benefit,538,,colleagu join honor,208,,mr speaker privileg,112
took offic,365,,econom develop,524,,senat ask unanim,206,,promis american peopl,110
muslim brotherhood,361,,equal divid,522,,journal proceed approv,205,,south carolina mr,110
includ extran,360,,head start,518,,time two leader,205,,demand record vote,109
food stamp,358,,speaker boehner,515,,resolut agre preambl,205,,would vote ye,108
remark includ,355,,senat pass,514,,proceed approv date,204,,unanim consent request,107
absent senat,354,,san francisco,511,,reserv use later,204,,delay employ mandat,107
,,,,,,,,,state south dakota,105
,,,,,,,,,mr speaker pursuant,105
,,,,,,,,,behalf unit state,104
,,,,,,,,,new budget author,103
,,,,,,,,,present vote senat,102
,,,,,,,,,new york mr,101
,,,,,,,,,pursuant hous resolut,100
,,,,,,,,,year fiscal year,99
,,,,,,,,,new health care,99
,,,,,,,,,ad end follow,96
,,,,,,,,,free syrian armi,96
,,,,,,,,,nation institut health,95
,,,,,,,,,congression district texa,95
,,,,,,,,,central valley project,95
,,,,,,,,,laid upon tabl,94
,,,,,,,,,fiscal year new,92
,,,,,,,,,keep govern open,92
,,,,,,,,,approv keyston xl,92
,,,,,,,,,year new budget,91
,,,,,,,,,author b outlay,90
,,,,,,,,,budget author b,90
,,,,,,,,,senat kansa mr,89
,,,,,,,,,fiscal year fiscal,87
,,,,,,,,,outlay fiscal year,86
,,,,,,,,,delay individu mandat,86
,,,,,,,,,health educ labor,86
,,,,,,,,,project mr speaker,85
,,,,,,,,,make point order,85
,,,,,,,,,yield minut gentlewoman,84
,,,,,,,,,senat tennesse mr,83
,,,,,,,,,senat texa mr,82
,,,,,,,,,patient protect afford,82
,,,,,,,,,b outlay fiscal,81
,,,,,,,,,foreign relat committe,81
,,,,,,,,,health care premium,80
,,,,,,,,,great state iowa,79
,,,,,,,,,live within mean,79
,,,,,,,,,mr speaker direct,79
,,,,,,,,,across state line,79
,,,,,,,,,balanc time move,78
,,,,,,,,,move previou question,78
,,,,,,,,,comprehens immigr reform,76
,,,,,,,,,yield back time,73
,,,,,,,,,broken immigr system,72
,,,,,,,,,florida mr rubio,72
,,,,,,,,,martin luther king,71
,,,,,,,,,later day date,71
,,,,,,,,,mr speaker profound,69
,,,,,,,,,busi leader year,69
,,,,,,,,,chief inform offic,69
,,,,,,,,,speaker thank chairman,69
,,,,,,,,,thank chairman yield,69
,,,,,,,,,chair gentleman texa,68
,,,,,,,,,make impact commun,68
,,,,,,,,,reserv point order,68
,,,,,,,,,law faith execut,68
,,,,,,,,,commun busi leader,68
,,,,,,,,,violenc women act,67
,,,,,,,,,particip polit process,67
,,,,,,,,,consent senat proceed,66
,,,,,,,,,colleagu join honor,66
,,,,,,,,,mr speaker purpos,66
,,,,,,,,,support rule underli,66
,,,,,,,,,debt limit increas,65
,,,,,,,,,senat offic build,64
,,,,,,,,,made laid upon,64
,,,,,,,,,senat judiciari committe,64
,,,,,,,,,presid took offic,64
,,,,,,,,,commun great state,64
,,,,,,,,,conduct hear entitl,63
,,,,,,,,,hous resolut call,63
,,,,,,,,,take care law,63
,,,,,,,,,care law faith,61
,,,,,,,,,committe homeland secur,60
,,,,,,,,,spend money nt,59
,,,,,,,,,day date enact,59
,,,,,,,,,bill print record,58
,,,,,,,,,text bill print,58
,,,,,,,,,unit state illeg,57
