"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"84688",84688,"climat chang",2095,256,2351,0.000122586649908607
"287967",287967,"mr presid",9043,4758,13801,0.00011304447600275
"372713",372713,"unanim consent",6633,3186,9819,0.000102924077235944
"313121",313121,"presid ask",4198,1560,5758,0.000102903810978993
"285218",285218,"minimum wage",1822,264,2086,9.91704772793771e-05
"69090",69090,"care law",157,1530,1687,9.52427960858401e-05
"36441",36441,"ask unanim",6011,2903,8914,9.21916940811134e-05
"341982",341982,"senat proceed",1263,162,1425,7.2509520741969e-05
"329692",329692,"republican colleagu",1018,78,1096,6.87253521566532e-05
"344487",344487,"session senat",1144,157,1301,6.3827237689564e-05
"282638",282638,"meet session",1075,137,1212,6.18816646096076e-05
"333274",333274,"rhode island",998,116,1114,5.95280697089423e-05
"40413",40413,"author meet",1035,134,1169,5.91968748429016e-05
"295470",295470,"obama administr",285,1350,1635,5.91280262777098e-05
"146896",146896,"eagl scout",15,710,725,5.67995176468068e-05
"292709",292709,"new york",3155,1464,4619,5.27253485342208e-05
"215612",215612,"gun violenc",624,15,639,4.94830348652886e-05
"234998",234998,"immigr reform",1457,417,1874,4.91906379024834e-05
"101901",101901,"consent member",9,573,582,4.65976652483306e-05
"341908",341908,"senat offic",755,81,836,4.63248718979e-05
"356406",356406,"student loan",1476,465,1941,4.48801905326081e-05
"6177",6177,"action debat",652,55,707,4.29778111773656e-05
"249237",249237,"interven action",647,54,701,4.27668319842379e-05
"101972",101972,"consent senat",955,196,1151,4.26652148884264e-05
"101813",101813,"consent committe",833,143,976,4.15846948482645e-05
"82628",82628,"civil right",1111,291,1402,4.08806232346863e-05
"383893",383893,"white hous",609,1633,2242,3.98573818461747e-05
"12660",12660,"afford care",2646,1292,3938,3.96567887803822e-05
"323232",323232,"read titl",3,469,472,3.92257260053442e-05
"26272",26272,"american peopl",3357,5351,8708,3.88469761148287e-05
"296724",296724,"offic build",764,131,895,3.81661664777409e-05
"68462",68462,"carbon pollut",484,15,499,3.75822948620798e-05
"123218",123218,"day revis",8,463,471,3.74751304226623e-05
"13355",13355,"african american",797,154,951,3.70620435450945e-05
"138852",138852,"dirksen senat",547,43,590,3.67060038814855e-05
"84578",84578,"clerk read",24,498,522,3.66962580122754e-05
"275961",275961,"major leader",995,2140,3135,3.56302302216057e-05
"287240",287240,"motion reconsid",680,108,788,3.53974425021227e-05
"68618",68618,"care act",2689,1395,4084,3.49238821098549e-05
"313394",313394,"presid health",11,439,450,3.47071237483262e-05
"360066",360066,"tabl interven",510,38,548,3.46606058983035e-05
"265810",265810,"legisl day",85,614,699,3.41310856177555e-05
"373284",373284,"unemploy insur",801,176,977,3.4083996731556e-05
"233932",233932,"illeg immigr",90,624,714,3.40485459109302e-05
"96778",96778,"comprehens immigr",639,98,737,3.38562422880327e-05
"280455",280455,"may legisl",6,413,419,3.3707134950023e-05
"350361",350361,"speaker move",50,521,571,3.31234726722872e-05
"28195",28195,"announc senat",395,3,398,3.29183788771468e-05
"168835",168835,"execut session",417,11,428,3.28363096527179e-05
"334873",334873,"rollcal vote",1045,324,1369,3.23674559368781e-05
