trigram,trigram_d_freq
ask unanim consent,6009
presid ask unanim,3968
mr speaker rise,3867
mr presid ask,3305
speaker rise today,3103
afford care act,2586
rise today honor,1092
yield back balanc,1086
back balanc time,1086
meet session senat,1075
ask colleagu join,1061
author meet session,1030
quorum call rescind,1017
unanim consent order,1014
order quorum call,1003
depart homeland secur,1002
consent order quorum,1001
rise today recogn,965
reserv balanc time,961
unanim consent senat,942
suggest absenc quorum,881
madam presid ask,860
unanim consent committe,832
yield minut gentleman,753
senat offic build,708
interven action debat,646
speaker ask colleagu,623
laid upon tabl,584
consent senat proceed,575
comprehens immigr reform,571
dirksen senat offic,542
tabl interven action,510
rais minimum wage,487
conduct hear entitl,462
colleagu join recogn,461
upon tabl interven,456
period morn busi,444
unanim consent request,429
new york citi,394
consid made laid,391
reconsid consid made,390
motion reconsid consid,390
made laid upon,381
nation institut health,359
proceed execut session,352
yield minut gentlewoman,331
presid unit state,325
broken immigr system,325
senat permit speak,322
student loan debt,314
morn busi senat,304
new budget author,302
agre motion reconsid,301
offic build conduct,299
energi natur resourc,299
senat proceed vote,298
year new budget,291
fiscal year new,291
execut session consid,289
author b outlay,288
budget author b,288
repeal afford care,282
senat proceed consider,282
follow leader remark,281
demand record vote,274
mr presid would,273
year fiscal year,269
fiscal year fiscal,266
outlay fiscal year,264
b outlay fiscal,261
build conduct hear,260
vote right act,256
would vote ye,243
senat proceed execut,241
speaker ask unanim,240
new york mr,240
leader remark senat,239
keep govern open,237
committe energi natur,232
motion reconsid laid,231
martin luther king,230
two leader designe,229
put food tabl,229
foreign relat committe,225
increas minimum wage,223
revis extend remark,217
consent resolut agre,214
unanim consent resolut,214
mr presid move,214
yield back time,214
immigr reform bill,212
follow prayer pledg,208
equal divid control,208
colleagu join honor,208
senat ask unanim,206
journal proceed approv,205
time two leader,205
resolut agre preambl,205
proceed approv date,204
reserv use later,204
